candidate_pair_id,left_sha256,right_sha256,left_download_status,right_download_status,left_decode_status,right_decode_status,left_feature_status,right_feature_status,pair_feature_status,ready_for_m1
DC-C01-S01-M1-CAND-0017,0182f8e03306449f87c6c26204ca014cf79e180efb1560749be1bcbe4d49045c,7bf21599ab895e19998f2c52acd2743088a191416d74d1a37aa17b21554c7c41,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0018,01888a153046fd043b5c37189e2ad0060d10c0a27c5e11180f4941196fe9acfe,249c5562f5b544a28764d8261fea08e2e05a681e2f9ed1cee173cf121fc09778,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0019,0192987c9db717fa84e5b51d2fb31a17b42475fb6834f69c40fe407617dd1af9,00e9e9bcf24affd2d87c034752ed9f74496eebc464d021fa79d48321b2b76ee3,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0020,0197ddb5ea5c2af189bc51a441fa1b6c5467bd902bfdccfcacde725d56317541,675852fd53756d069153df837e2d1f002d3571d9bbc42982c2da84b7bd005cb3,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0021,019a8a0d6916011c67c8bb7eae39778fb82168e47b6b0bc9efd2b24e6b27ce13,195c46b03b3bb42408aaf604ad9375e0efde1ccbadfee23acf20009515f876c4,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0022,01a81f0196554fc91315263b15ad65b4ca2ac08be2562c219fc87caec1ab564e,4badd2eca2808520c943899c31bf0e2f271dbd34a9b5d4c9e4cf5796336644f5,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0023,01c6299941a04734370854fb928a326f659709ff4c663799025515bdd8407e08,052ac8459faba929a899d7abfa6564466a2abb2649e9a0754cda6e672f71f207,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0024,01c65038bbc68ce7948c6896bbb554edb5bd3eb8d2ccb9e4d2031fe831e0c427,0f13ee3c7cabe5c1ec33b0d7215e8b3f0f436d8485ba69722f46b91a6e541503,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0025,01e1fe9ba4a822eaca97c06c3dc1bacd331d85539da35962c6777390d6434c94,a636e3f61c3ec74bd7febb531fc5c83c6acc14244d2c3a5591e7570e4c9a0abf,downloaded,downloaded,success,success,success,success,success,true
DC-C01-S01-M1-CAND-0026,01e3466d2b9899f61c2461fabc544e32bbab1cbfcf4ebc978156941df684aded,16090c8b32a027397379aa84543f26a5e73cb333ed1ab5a019ab2ce5c9441fb5,pending,pending,,,,,failed,false
DC-C01-S01-M1-CAND-0027,01eb9435af552beefa6745cd8705de514ba8057a5c18b1e6d0659c1485745b5a,45510f6ace3a15feb2cd4f28988080a7995052d922d781e967c0ae1b2a7090fd,pending,pending,,,,,failed,false
DC-C01-S01-M1-CAND-0028,021a22ca72bf54c2c9c2f8486541aa5ed3884415d31f6c2ea828129a88e5a8c3,507838eb98f6ec500717064aff02dece3904bb9b59b2ede62c4b4f7594efe3b9,pending,pending,,,,,failed,false
DC-C01-S01-M1-CAND-0029,0266db888cebae8f981f853d24c6177c53e7d462960d944c2417c4b56752d84c,0feda66169c58afb86fba2a22e4812c9537110e8fc3c80ad29581418049906b4,pending,pending,,,,,failed,false
DC-C01-S01-M1-CAND-0030,02674bf1fe4e23f9674fee8c4f673c2e0ef25a544c47f532f9b9bcd8ec489d5f,42a5bc41751d06974a507df71c8365cbe421478b3735a4e8c5bc54c8b4da3cbc,pending,pending,,,,,failed,false
