coordinate,dataset_id,case_id,case_role,failure_label,failure_family,split,lineage_group_id,sha256,apk_ref,artifact_kind,decode_status,decode_failure_class,representation_status,expected_failure_stage,expected_failure_class,label_source,label_confidence,source_ref,selection_rule,allowed_use,forbidden_use,evidence_ref
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0011,failure_case,unpack_failed,unpack_failed,dev,F01M1-UNPACK-FAILED-0011,60e773c5b976aeeb279fedc461e84119baffa1e1e19306a5eff2dd3a814d316f,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0011/input.apk,zip_with_invalid_android_payload,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,unpack_failed,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0012,failure_case,decode_timeout,decode_timeout,dev,F01M1-DECODE-TIMEOUT-0012,4cf2459355a54825d6c77d91d787eb12c292171efa9b90b1d7a0e17d1a4550ab,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0012/input.apk,valid_apk_timeout_probe,failed,decode_timeout,expected_analysis_failed,decode_sanity,decode_timeout,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0013,failure_case,code_empty_apk,code_empty_apk,dev,F01M1-CODE-EMPTY-APK-0013,8ba3279d98839b24f67e79b6f98dbac331f67dbf568b2f6118d014866967d8ac,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0013/input.apk,valid_apk_without_classes_dex,success,,expected_analysis_failed_after_decode,representation_build,code_empty_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0014,failure_case,malformed_or_non_apk,malformed_apk,dev,F01M1-MALFORMED-APK-0014,fd510c38ebfae625cd4d64b3875c1668ca7d9e63164c6833a00c34400b829593,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0014/input.apk,non_zip_non_apk_blob,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,malformed_or_non_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0015,failure_case,unpack_failed,unpack_failed,holdout,F01M1-UNPACK-FAILED-0015,e42bf1ec70f0690def0df3b0781c8a80ed0e8b0ae4124b06acf9f3577478b856,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0015/input.apk,zip_with_invalid_android_payload,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,unpack_failed,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0016,failure_case,decode_timeout,decode_timeout,dev,F01M1-DECODE-TIMEOUT-0016,16e3a446744efa9565c004289d9dcb2d915aa79d90cddb2c37392da70591f77d,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0016/input.apk,valid_apk_timeout_probe,failed,decode_timeout,expected_analysis_failed,decode_sanity,decode_timeout,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0017,failure_case,code_empty_apk,code_empty_apk,dev,F01M1-CODE-EMPTY-APK-0017,4f96a09ea3365670a2f309289e195eed087d44e20f98157f41aaed2d0ab1082d,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0017/input.apk,valid_apk_without_classes_dex,success,,expected_analysis_failed_after_decode,representation_build,code_empty_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0018,failure_case,malformed_or_non_apk,malformed_apk,dev,F01M1-MALFORMED-APK-0018,4e708ac92273f4556f8034f25c8c5290d73c27170f24aa7636e064270ab03c15,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0018/input.apk,non_zip_non_apk_blob,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,malformed_or_non_apk,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0019,failure_case,unpack_failed,unpack_failed,dev,F01M1-UNPACK-FAILED-0019,076533d21efaa073586330b2538d5e8f4d32c024baf0d96a11db0f928c57128a,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0019/input.apk,zip_with_invalid_android_payload,failed,apktool_androlib_error,expected_analysis_failed,apk_unpack,unpack_failed,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
DC-F01-S06-M1,DC-F01-S06-M1,DC-F01-S06-M1-CASE-0020,failure_case,decode_timeout,decode_timeout,holdout,F01M1-DECODE-TIMEOUT-0020,14cd37ae28840ece149024f1f8d67847559a78cb23c3bced1f7088b130c60027,m1/DC-F01-S06-M1/generated-apks/DC-F01-S06-M1-CASE-0020/input.apk,valid_apk_timeout_probe,failed,decode_timeout,expected_analysis_failed,decode_sanity,decode_timeout,controlled synthetic local failure generation,strong,experiments/datasets/tools/build_f01_m1_failure_cases.py,20 generated failure cases; every fifth case is holdout; four failure families are balanced 5 each,"M1 failure-path diagnostics, service robustness checks, and analysis_failed contract tests","No similarity-quality claim; these cases test failure semantics, not pairwise similarity.",controlled synthetic local failure generation
